Fish_Day,Proportion_1_3,Proportion_4_10,Proportion_1_3_SE,Proportion_4_10_SE,Cumulative_Proportion_1_3,Cumulative_Proportion_4_10,Cumulative_Proportion_1_3_SE,Cumulative_Proportion_4_10_SE
1,0.230769231,0.28125,0.145296631,0.070429521,0.230769231,0.28125,0.145296631,0.068767233
2,0.333333333,0.4375,0.083333333,0.100037015,0.384615385,0.4375,0.072648316,0.084931911
3,0.625,0.789473684,0.055555556,0.097182532,0.538461538,0.789473684,0.033333333,0.097182532
4,0.6,0.789473684,0.288675135,0.097182532,0.538461538,0.842105263,0.033333333,0.069721669
5,0.666666667,0.789473684,0.333333333,0.097182532,0.615384615,0.894736842,0.1,0.072648316
6,,0.777777778,,0.122474487,,0.894736842,,0.072648316
7,,0.777777778,,0.122474487,,0.894736842,,0.072648316
8,,0.647058824,,0.139443338,,0.894736842,,0.072648316
9,,0.705882353,,0.111803399,,0.894736842,,0.072648316
10,,0.733333333,,0.1,,0.894736842,,0.072648316
