Fish Trial,Boxes Opened,Feeds,Repeat,Cumulative Feeds,Cumulative Opens,Cumulative Observed Feeds,Cumulative Observed Opens,Fish Day,Trials Opened,Feeds Observed,Opens observed,Fish,Trials Fed
1,0,0,1,0,0,10,4,1,0,10,4,6,0
2,0,0,1,0,0,16,7,1,0,6,3,6,0
3,0,0,1,0,0,20,10,1,0,4,3,6,0
4,0,0,1,0,0,29,15,1,0,9,5,6,0
5,0,0,1,0,0,34,18,1,0,5,3,6,0
6,0,0,1,0,0,38,20,2,0,4,2,6,0
7,0,0,1,0,0,46,25,2,0,8,5,6,0
8,0,1,1,1,0,53,29,2,0,7,4,6,1
9,0,2,1,3,0,59,31,2,0,6,2,6,2
10,0,1,1,4,0,66,34,3,0,7,3,6,3
11,0,2,1,6,0,72,37,3,0,6,3,6,4
12,0,1,1,7,0,78,41,3,0,6,4,6,5
13,0,0,1,7,0,82,44,3,0,4,3,6,5
14,0,0,1,7,0,84,46,3,0,2,2,6,5
15,0,1,1,8,0,86,47,3,0,2,1,6,6
16,1,1,1,9,1,90,47,4,1,4,0,6,7
17,0,0,1,9,1,93,50,4,1,3,3,6,7
18,0,0,1,9,1,100,54,4,1,7,4,6,7
19,0,0,1,9,1,103,56,4,1,3,2,6,7
20,1,1,1,10,2,107,59,4,2,4,3,6,8
21,0,1,1,11,2,109,59,5,2,2,0,6,9
22,0,0,1,11,2,110,60,5,2,1,1,6,9
23,0,1,1,12,2,111,61,5,2,1,1,6,10
24,0,0,1,12,2,111,61,5,2,0,0,6,10
25,1,1,1,13,3,113,62,5,3,2,1,6,11
1,0,0,1,0,0,4,2,1,0,4,2,7,0
2,0,0,1,0,0,12,7,1,0,8,5,7,0
3,0,1,1,1,0,19,11,1,0,7,4,7,1
4,0,2,1,3,0,25,13,1,0,6,2,7,2
5,0,3,1,6,0,30,16,1,0,5,3,7,3
6,0,2,1,8,0,36,19,2,0,6,3,7,4
7,0,1,1,9,0,42,23,2,0,6,4,7,5
8,1,0,1,9,1,46,25,2,1,4,2,7,5
9,0,0,1,9,1,48,27,2,1,2,2,7,5
10,0,0,1,9,1,51,28,2,1,3,1,7,5
11,0,1,1,10,1,55,29,3,1,4,1,7,6
